district,total_population,secondary_school_students,primary_school_students,primary_mean,primary_median,primary_q1,primary_q3,primary_std,primary_iqr,secondary_mean,secondary_median,secondary_q1,secondary_q3,secondary_std,secondary_iqr,diff_mean,diff_median,diff_q1,diff_q3,diff_std,diff_iqr
Sarawak,2454432,208426,230757,5.41449366355678,3.143333333333333,1.9133333333333333,5.246666666666667,9.703297069420795,3.333333333333334,13.688326934269718,5.306666666666667,3.2233333333333336,11.075,28.3802873433698,7.851666666666666,8.273833270712938,2.1633333333333336,1.3100000000000003,5.828333333333332,18.676990273949006,4.518333333333332
Asajaya,33903,3300,3599,2.1308173566731496,1.8900000000000001,1.0516666666666667,2.8449999999999998,1.4703664885383485,1.793333333333333,5.983022222222222,5.826666666666667,3.71,8.368333333333334,3.316625116106075,4.658333333333334,3.8522048655490724,3.936666666666667,2.658333333333333,5.523333333333334,1.8462586275677266,2.865000000000001
Bau,52596,4472,4380,2.6596293759512935,2.2766666666666664,1.4366666666666668,3.2550000000000003,1.907550075114962,1.8183333333333336,8.848748509242695,7.91,4.036666666666666,12.879999999999999,5.835067366985683,8.843333333333334,6.189119133291401,5.633333333333334,2.5999999999999996,9.624999999999998,3.9275172918707213,7.025
Belaga,22301,2139,2160,18.16631685323383,7.136666666666667,3.065,19.485,33.50326944887511,16.419999999999998,41.61247448579055,12.325,3.503333333333333,58.17666666666666,67.59125838081492,54.67333333333333,23.44615763255672,5.188333333333333,0.438333333333333,38.69166666666666,34.08798893193981,38.25333333333333
Beluru,28909,2882,2987,13.945412900345943,4.375,1.1183333333333332,22.096666666666668,21.439703290726545,20.978333333333335,26.735446449225076,22.113333333333333,12.705,35.26166666666666,25.38104517357886,22.556666666666665,12.790033548879133,17.738333333333333,11.586666666666666,13.164999999999996,3.9413418828523135,1.5783333333333296
Betong,36288,3105,3236,4.567656038345317,2.618333333333333,1.3816666666666668,5.111666666666666,6.165510366269582,3.7299999999999995,13.280533659066233,5.458333333333333,3.45,17.44,14.775414507525914,13.990000000000002,8.712877620720917,2.84,2.0683333333333334,12.328333333333335,8.609904141256333,10.260000000000002
Bintulu,178505,15814,18656,6.575550254623426,4.611666666666666,3.4983333333333335,7.3566666666666665,5.88389894239233,3.858333333333333,9.224865406100468,5.1899999999999995,3.975,8.306666666666667,12.115504392346972,4.331666666666667,2.649315151477042,0.5783333333333331,0.47666666666666657,0.9500000000000002,6.2316054499546425,0.47333333333333405
Bukit Mabong,9882,593,1144,20.33528125181734,9.853333333333333,3.665,21.551666666666666,38.37395942585435,17.886666666666667,99.95678308823528,79.39833333333333,49.115,105.96666666666667,85.58116826640696,56.85166666666667,79.62150183641795,69.54499999999999,45.45,84.415,47.20720884055261,38.965
Dalat,21303,1862,1986,3.068427970885169,1.3733333333333335,0.9616666666666667,2.8266666666666667,4.466112712783461,1.865,20.871507339778017,8.143333333333334,3.853333333333333,12.153333333333334,40.71372962207593,8.3,17.80307936889285,6.770000000000001,2.8916666666666666,9.326666666666668,36.24761690929247,6.4350000000000005
Daro,19602,1720,2283,3.772123337717376,2.2766666666666664,1.4616666666666667,3.308333333333333,5.658857320337535,1.8466666666666665,20.702472677595633,5.673333333333333,2.115,49.11,23.817866150204097,46.995,16.93034933987826,3.3966666666666665,0.6533333333333335,45.80166666666667,18.15900882986656,45.14833333333333
Julau,15310,1405,1557,7.51205701754386,5.846666666666667,3.128333333333333,8.996666666666666,7.105130866633134,5.868333333333333,36.599539136795904,20.69333333333333,3.0616666666666665,47.016666666666666,47.123134250911534,43.955,29.087482119252044,14.846666666666664,-0.06666666666666643,38.019999999999996,40.0180033842784,38.086666666666666
Kabong,18701,1547,1735,3.573456292026897,2.07,0.9866666666666667,4.29,3.692073157723192,3.3033333333333332,16.030221934927816,10.71,6.406666666666666,24.293333333333333,13.352169206855264,17.886666666666667,12.456765642900919,8.64,5.42,20.003333333333334,9.660096049132072,14.583333333333334
Kanowit,24610,2270,2570,5.1953621270608705,3.305,1.6516666666666666,6.823333333333333,5.430756914362314,5.171666666666667,16.64396925858951,10.938333333333333,4.069999999999999,23.446666666666665,18.86717544254269,19.376666666666665,11.44860713152864,7.633333333333333,2.418333333333333,16.62333333333333,13.436418528180376,14.204999999999998
Kapit,36091,3624,4145,6.382054479209952,2.5,1.72,4.501666666666667,13.365156934692294,2.781666666666667,24.99208904109589,4.276666666666667,3.0533333333333332,9.004999999999999,59.45644029215356,5.951666666666666,18.61003456188594,1.7766666666666673,1.3333333333333333,4.503333333333332,46.091283357461265,3.169999999999999
Kuching,609189,50117,55263,3.3780312927878207,3.0116666666666663,2.0733333333333333,4.288333333333333,1.9764599092849295,2.215,5.18762747837658,4.528333333333333,2.8800000000000003,6.321666666666667,3.637679079157447,3.441666666666667,1.8095961855887595,1.516666666666667,0.8066666666666671,2.033333333333334,1.6612191698725176,1.226666666666667
Lawas,36695,3389,4017,3.6727030951788233,2.335,1.5216666666666667,3.6866666666666665,4.363251547371337,2.165,29.214235270974722,7.09,3.3866666666666663,16.445,70.35512452526305,13.058333333333334,25.5415321757959,4.755,1.8649999999999995,12.758333333333333,65.99187297789172,10.893333333333334
Limbang,45010,4135,4794,5.675086914198303,2.2333333333333334,1.105,4.301666666666667,13.684129250870107,3.1966666666666668,16.604036704664885,5.038333333333333,3.9266666666666667,17.368333333333332,28.287201491059736,13.441666666666666,10.928949790466582,2.8049999999999997,2.8216666666666668,13.066666666666666,14.60307224018963,10.245
Lubok Antu,24305,1833,2094,6.218471323298898,3.3666666666666667,1.4,7.739999999999999,8.3436477135965,6.34,20.482068649045523,11.685,3.8633333333333337,22.23,27.215711537539363,18.366666666666667,14.263597325746625,8.318333333333333,2.463333333333334,14.490000000000002,18.872063823942863,12.026666666666667
Lundu,33405,2881,3360,5.796245535714286,3.308333333333333,1.8916666666666666,6.233333333333333,7.310231460201256,4.341666666666667,16.802438967950945,13.716666666666667,5.793333333333334,24.666666666666668,13.77555305732442,18.873333333333335,11.006193432236659,10.408333333333333,3.9016666666666673,18.433333333333334,6.465321597123164,14.531666666666668
Marudi,18999,1959,2039,8.488888343959458,2.4133333333333336,0.9433333333333334,5.355,17.751878022687183,4.411666666666667,25.744169650468887,4.27,2.9099999999999997,38.11333333333334,37.382812060891226,35.20333333333334,17.25528130650943,1.856666666666666,1.9666666666666663,32.75833333333334,19.630934038204042,30.79166666666667
Matu,16198,1237,1502,4.365442892928884,2.0883333333333334,1.4566666666666668,3.5616666666666665,9.116438543194961,2.1049999999999995,29.79835084882781,7.5633333333333335,4.6466666666666665,15.5,74.18104557546211,10.853333333333333,25.432907955898926,5.475,3.1899999999999995,11.938333333333333,65.06460703226715,8.748333333333335
