district,boat_primary_pct,car_primary_pct,foot_primary_pct,no_route_primary_pct,boat_secondary_pct,car_secondary_pct,foot_secondary_pct,no_route_secondary_pct
Asajaya,,64.96248958043901,35.03751041956099,,0.15151515151515152,95.06060606060606,4.787878787878788,
Bau,,89.84018264840182,10.159817351598173,,,96.04203935599284,3.957960644007156,
Belaga,1.4351851851851851,84.76851851851852,13.055555555555557,0.7407407407407408,5.984104721832632,82.328190743338,10.93969144460028,0.748013090229079
Beluru,1.037830599263475,71.57683294275192,27.3853364579846,,0.31228313671061764,97.05065926439971,2.63705759888966,
Betong,0.21631644004944375,83.00370828182942,15.636588380716935,1.1433868974042027,3.317230273752013,93.01127214170693,2.5442834138486314,1.1272141706924315
Bintulu,,95.13293310463122,4.861706689536878,0.005360205831903945,,97.16074364487163,2.8329328443151636,0.00632351081320349
Bukit Mabong,38.37412587412587,35.05244755244755,21.416083916083917,5.1573426573426575,43.50758853288364,48.22934232715008,,8.263069139966273
Dalat,3.826787512588117,55.63947633434039,40.5337361530715,,6.7669172932330826,93.23308270676691,,
Daro,0.7884362680683311,69.33858957512045,29.785370127025846,0.08760402978537013,1.5697674418604652,73.77906976744187,2.6744186046511627,21.976744186046513
Julau,4.752729608220937,81.63134232498395,10.982658959537572,2.6332691072575463,4.199288256227758,74.73309608540926,17.295373665480426,3.772241992882562
Kabong,0.2881844380403458,68.01152737752162,31.70028818443804,,0.6464124111182934,98.83645765998708,0.5171299288946347,
Kanowit,4.747081712062257,79.88326848249028,13.657587548638132,1.7120622568093387,7.224669603524229,85.11013215859032,5.110132158590308,2.555066079295154
Kapit,6.1761158021712905,73.36550060313631,18.986731001206273,1.4716525934861278,12.969094922737307,80.04966887417218,3.6699779249448126,3.3112582781456954
Kuching,0.0036190579592132164,90.39863923420734,9.597741707833451,,0.06784125147155656,95.64818325119221,4.2500548716004545,0.03392062573577828
Lawas,0.19915359721184964,83.74408762758277,16.056758775205378,,,96.04603127766302,3.953968722336972,
Limbang,1.6478931998331245,81.87317480183563,16.478931998331248,,2.563482466747279,93.5671100362757,3.5792019347037485,0.29020556227327693
Lubok Antu,2.6743075453677174,79.2741165234002,17.478510028653297,0.5730659025787965,4.69176213857065,92.90780141843972,1.4729950900163666,0.9274413529732678
Lundu,0.4464285714285714,86.93452380952381,12.619047619047619,,,99.61818812912183,0.3818118708781673,
Marudi,2.30505149583129,69.29867582148111,28.39627268268759,,8.677896886166412,91.11791730474732,,0.20418580908626852
Matu,6.724367509986684,71.63781624500666,21.637816245006658,,16.410670978173002,81.89167340339532,1.6976556184316896,
Meradong,0.8279668813247469,89.74241030358786,9.429622815087397,,8.79243183082916,79.74401780745687,11.463550361713967,
Miri,0.009231905465288036,90.06185376661743,9.91506646971935,0.013847858197932054,0.09455558873295511,94.41624365482234,5.4742709266447696,0.014929829799940281
Mukah,1.0005130836326321,83.24781939456132,15.546434068753207,0.2052334530528476,1.0717475439118784,96.72521583804703,1.9946412622804406,0.20839535576064305
Pakan,2.2176022176022174,83.22938322938323,13.305613305613306,1.2474012474012475,1.228878648233487,97.54224270353302,,1.228878648233487
Pusa,,68.26103077493512,31.73896922506489,,,90.84542271135568,9.154577288644322,
Samarahan,,97.26805038140856,2.7319496185914494,,,100.0,,
Saratok,0.05730659025787965,85.0429799426934,14.899713467048711,,3.1755542240862793,85.20071899340923,11.563810665068903,0.05991611743559017
Sarikei,0.1669449081803005,89.57786787502981,10.255187216789889,,5.304369790351099,83.85956049507452,10.836069714574387,
Sebauh,8.573596358118362,78.14871016691957,12.253414264036419,1.024279210925645,13.142857142857142,84.91428571428571,0.8571428571428572,1.0857142857142856
Selangau,3.140227395776936,81.53762858689767,13.643746616134273,1.678397401191121,1.6872160934458142,94.93835171966256,,3.3744321868916285
Serian,,85.35334102860075,14.621008080030782,0.025650891368475055,0.08175500749420903,95.73511377571876,4.155879547622292,0.02725166916473634
Sibu,0.26660641662901036,83.5698147311342,16.163578852236782,,0.25901671390870884,91.49643241129898,8.244550874792298,
Simunjan,0.11706175007316359,70.67603160667252,29.206906643254314,,0.6140917905623788,96.21848739495799,3.167420814479638,0.0
Song,14.602587800369685,68.11460258780036,14.972273567467653,2.310536044362292,19.657142857142855,72.11428571428571,4.914285714285714,3.314285714285714
Sri Aman,0.4113687359760658,84.44278234854151,15.145848915482423,,0.4835367257655998,91.91802901220355,6.700437485609026,0.8979967764218283
Subis,0.7828181453231634,90.58610999598555,8.189482135688479,0.4415897230028101,0.2538656819755366,95.63812600969305,3.669513039464574,0.43849526886683593
Tanjung Manis,,80.11126564673157,19.88873435326843,,0.7462686567164178,77.05223880597015,2.425373134328358,19.776119402985074
Tatau,4.906607192640089,62.44772790632841,31.53052690270421,1.1151379983272929,13.970877607241244,75.00983864620228,9.838646202282566,1.1806375442739079
Tebedu,,79.61126537088457,20.38873462911543,,,95.03846153846153,4.961538461538462,
Telang Usan,12.356870229007635,51.38358778625955,34.44656488549619,1.8129770992366412,25.653923541247487,63.329979879275655,9.205231388329981,1.8108651911468814
Sarawak,1.069089995103074,85.10121036414931,13.6186551220548,0.21104451869282406,1.8505368811952443,93.03541784614204,4.577164077418364,0.5368811952443553
