id,x,y,primary_school_students,secondary_school_students,district,parlimen,dun,bandar_luarbandar
3630,111.65984,1.134809,59.61016905867747,52.2298624133174,Lubok Antu,P.203 Lubok Antu,N.33 Engkilili,Luar Bandar
3631,111.65984,1.143149,6.927272080941265,6.069609823300918,Lubok Antu,P.203 Lubok Antu,N.33 Engkilili,Luar Bandar
3632,111.65984,1.159829,6.847066442368009,5.9993344066462555,Lubok Antu,P.203 Lubok Antu,N.33 Engkilili,Luar Bandar
3633,111.65984,1.168169,12.26795964415901,10.749069402501227,Lubok Antu,P.203 Lubok Antu,N.33 Engkilili,Luar Bandar
3634,111.65984,1.176509,6.92158279558816,6.0646249256581966,Lubok Antu,P.203 Lubok Antu,N.33 Engkilili,Luar Bandar
3635,111.65984,1.993834,8.696638110262423,7.247198425218686,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3636,111.65984,2.077235,1.4287062727216306,1.1905885606013589,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3637,111.65984,2.085575,3.105631906455943,2.588026588713286,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3638,111.65984,2.093915,1.357590770084328,1.13132564173694,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3639,111.65984,2.102255,2.664102155114547,2.220085129262123,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3640,111.65984,2.110595,1.546126827912058,1.2884390232600482,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3641,111.65984,2.143955,82.77928368300279,68.98273640250233,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3642,111.65984,2.152295,137.60593319382465,114.67161099485386,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3643,111.65984,2.160635,25.20306342338014,21.002552852816784,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3644,111.660018,1.156587,54.51771613022642,47.76790365696029,Lubok Antu,P.203 Lubok Antu,N.33 Engkilili,Luar Bandar
3645,111.660318,2.332807,3.68331344719166,3.403820827892564,Sibu,P.212 Sibu,N.53 Bawang Assan,Luar Bandar
3646,111.660887,2.256254,13.48533235859394,11.23777696549495,Meradong,P.207 Igan,N.43 Daro,Luar Bandar
3647,111.662003,2.064795,3.6526406334943853,3.0438671945786546,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
